vendor,material,price,uom,month,delivery
Lewis Salvage,Shred,206,NT,2025-10,Picked Up
Lewis Salvage,Clean Sheet / Clips,221,NT,2025-10,Picked Up
Lewis Salvage,stainless steel,0.4,LB,2025-10,Picked Up
Lewis Salvage,Aluminum Breakage,0.25,LB,2025-10,Picked Up
Lewis Salvage,Aluminum Engines,0.3,LB,2025-10,Picked Up
Lewis Salvage,Shred,206,NT,2025-11,Picked Up
Lewis Salvage,Clean Sheet / Clips,221,NT,2025-11,Picked Up
Lewis Salvage,stainless steel,0.4,LB,2025-11,Picked Up
Lewis Salvage,Aluminum Breakage,0.25,LB,2025-11,Picked Up
Lewis Salvage,Aluminum Engines,0.3,LB,2025-11,Picked Up
Lewis Salvage,Shred,230,NT,2025-12,Picked Up
Lewis Salvage,Clean Sheet / Clips,245,NT,2025-12,Picked Up
Lewis Salvage,stainless steel,0.4,LB,2025-12,Picked Up
Lewis Salvage,Aluminum Breakage,0.28,LB,2025-12,Picked Up
Lewis Salvage,Aluminum Engines,0.32,LB,2025-12,Picked Up
